Dia,Codi estació,Nom estació,Volum (hm3)
14/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.034909
14/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.169344
13/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.034898
13/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.169744
12/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.026555
12/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.169872
11/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.016033
11/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167472
10/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.000163
10/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.161264
09/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
09/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.157312
08/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
08/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167168
07/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
07/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.166416
06/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
06/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.162384
05/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
05/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.164256
04/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
04/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.160384
03/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
03/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.153008
02/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
02/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.165472
01/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
01/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.1664
28/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
28/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.164768
27/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
27/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.165344
26/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
26/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.162704
25/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0
25/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.162496
24/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.013069
24/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.165088
23/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.038291
23/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.16944
22/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04172
22/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.169376
21/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040626
21/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.16312
20/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042265
20/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167488
19/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.039324
19/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.169376
18/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042643
18/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.169072
17/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042112
17/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.157456
16/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041247
16/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167824
15/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040619
15/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167248
14/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.038669
14/02/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.168592
13/02/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04147
