Dia,Volum
2022-07-09,1.67
2022-07-10,1.59
2022-07-11,1.61
2022-07-12,1.67
2022-07-13,1.68
2022-07-14,1.68
2022-07-15,1.68
2022-07-16,1.68
2022-07-17,1.68
2022-07-18,1.69
2022-07-19,0.35
2022-07-20,0.43
2022-07-21,1.68
2022-07-22,1.67
2022-07-23,1.42
2022-07-24,1.67
2022-07-25,1.67
2022-07-26,1.67
2022-07-27,1.48
2022-07-28,1.71
2022-07-29,1.7
2022-07-30,1.7
2022-07-31,1.7
2022-08-01,1.66
2022-08-02,1.66
2022-08-03,1.71
2022-08-04,1.71
2022-08-05,1.72
2022-08-06,1.72
2022-08-07,1.65
2022-08-08,1.69
2022-08-09,1.69
2022-08-10,1.7
2022-08-11,1.37
2022-08-12,1.24
2022-08-13,1.69
2022-08-14,1.69
2022-08-15,1.58
2022-08-16,1.68
2022-08-17,1.68
2022-08-18,1.69
2022-08-19,1.68
2022-08-20,1.62
2022-08-21,1.53
2022-08-22,1.69
2022-08-23,1.7
2022-08-24,1.69
2022-08-25,0.97
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,23.57
2022-08-30,1.64
2022-08-31,1.64
2022-09-01,1.69
2022-09-02,1.64
2022-09-03,1.71
2022-09-04,1.69
2022-09-05,1.7
2022-09-06,1.69
2022-09-07,1.68
2022-09-08,1.69
2022-09-09,1.65
2022-09-10,1.58
2022-09-11,1.66
2022-09-12,1.67
2022-09-13,1.67
2022-09-14,1.02
2022-09-15,1.47
2022-09-16,1.15
2022-09-17,1.68
2022-09-18,1.6
2022-09-19,1.68
2022-09-20,1.68
2022-09-21,1.5
2022-09-22,1.67
2022-09-23,1.7
2022-09-24,1.23
2022-09-25,0.93
2022-09-26,0.75
2022-09-27,0.76
2022-09-28,0.76
2022-09-29,1.12
2022-09-30,1.56
2022-10-01,1.66
2022-10-02,1.61
2022-10-03,1.72
2022-10-04,1.02
2022-10-05,1.55
2022-10-06,2.05
2022-10-07,2.0
2022-10-08,1.95
2022-10-09,1.7
2022-10-10,1.84
2022-10-11,1.65
2022-10-12,1.77
2022-10-13,1.93
2022-10-14,2.04
2022-10-15,1.95
2022-10-16,1.85
2022-10-17,1.98
2022-10-18,2.05
2022-10-19,2.08
2022-10-20,2.08
2022-10-21,2.09
2022-10-22,2.01
2022-10-23,1.67
2022-10-24,2.08
2022-10-25,1.62
2022-10-26,2.08
2022-10-27,2.07
2022-10-28,2.08
2022-10-29,1.89
2022-10-30,1.86
2022-10-31,1.85
2022-11-01,1.85
2022-11-02,1.92
2022-11-03,2.09
2022-11-04,1.86
2022-11-05,2.06
2022-11-06,1.88
2022-11-07,2.02
2022-11-08,2.02
2022-11-09,1.76
2022-11-10,0.15
2022-11-11,1.97
2022-11-12,1.99
2022-11-13,2.0
2022-11-14,2.03
2022-11-15,2.0
2022-11-16,1.94
2022-11-17,1.84
2022-11-18,1.88
2022-11-19,1.96
2022-11-20,1.88
2022-11-21,1.63
2022-11-22,1.93
2022-11-23,1.67
2022-11-24,1.41
2022-11-25,2.01
2022-11-26,1.67
2022-11-27,1.97
2022-11-28,1.9
2022-11-29,2.0
2022-11-30,1.77
2022-12-01,2.01
2022-12-02,2.01
2022-12-03,1.97
2022-12-04,2.03
2022-12-05,2.02
2022-12-06,1.93
2022-12-07,1.81
2022-12-08,1.92
2022-12-09,2.08
2022-12-10,1.88
2022-12-11,91.23
2022-12-12,1.92
2022-12-13,1.35
2022-12-14,1.03
2022-12-15,0.86
2022-12-16,0.0
2022-12-17,0.63
2022-12-18,0.72
2022-12-19,1.19
2022-12-20,1.03
2022-12-21,1.02
2022-12-22,0.9299999999999999
2022-12-23,0.99
2022-12-24,0.99
2022-12-25,0.98
2022-12-26,0.87
2022-12-27,1.03
2022-12-28,1.05
2022-12-29,1.06
2022-12-30,1.2000000000000002
2022-12-31,1.1600000000000001
2023-01-01,1.13
2023-01-02,1.1
2023-01-03,1.19
2023-01-04,1.23
2023-01-05,0.83
2023-01-06,1.24
2023-01-07,1.2
2023-01-08,1.21
2023-01-09,1.25
2023-01-10,0.88
2023-01-11,0.88
2023-01-12,1.25
2023-01-13,2.31
2023-01-14,2.34
2023-01-15,2.2800000000000002
2023-01-16,2.31
2023-01-17,11.88
2023-01-18,2.36
2023-01-19,1.89
2023-01-20,2.31
2023-01-21,2.27
2023-01-22,2.18
2023-01-23,1.12
2023-01-24,21.89
2023-01-25,1.54
2023-01-26,24.58
2023-01-27,1.8
